"en: angličtina";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"nezajímala . </s><s> Aimee na Lux vadilo úplně všechno ,  jménem";"počínaje";". </s>  <s> [ mezera ] </s><s> Lux Hepchick Fitzpatricková se měla původně"
"en: angličtina";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"podivných úkazů a obrázků UFO i tajemných tvorů ,  yettim";"počínaje";", přes jezerní příšery až po malé zelené mužíčky . </s>"
"en: angličtina";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"již všechny druhy a fáze jeho hněvu , těžkým  sarkasmem";"počínaje";"a neartikulovaným řvaním konče , ale teprve nyní zřejmě dosáhl"
"en: angličtina";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"přímo ďábelským tempem a proháněl každého , nejvyššími vedoucími  pracovníky";"počínaje";"a poslíčky konče . </s><s> Všichni se horečně snažili , aby"
"en: angličtina";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"udělat už před pěti lety . </s><s> Zničím ho . </s>  <s> Dneškem";"počínaje";"chci , aby se Sinco účastnilo všech konkurzů , do"
"en: angličtina";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"otočit , bylo zhola nemožné . </s><s> Všichni – bohatými  plantážníky";"počínaje";"a poslední hokynářkou na saintpierrském trhu konče – věděli ,"
"en: angličtina";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"při poslední návštěvě rodného kraje naznačovaly uzardělé tváře dívek  služkami";"počínaje";"a dcerami perpignanských občanů konče . </s><s> Nicméně královský mušketýr ,"
"es: španělština";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";". </s><s> Pro ně je všechno pravda . </s><s> Nejzkušenější politici  Indírou";"počínaje";"vždycky uměli využít tuto jemnou hranici mezi lidmi a bohy"
"en: angličtina";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"ústavě , na níž se většina Nigerijců , řadovými  občany";"počínaje";", vyslovila pro volnou konfederaci se slabou ústřední vládou . </s>"
"zh: čínština";"FIC: beletrie";"NOV: próza";"X: neuvedeno";"X: neuvedeno";"se suší prádlo , plenami , podprsenkami , záplatovanými  trenkami";"počínaje";"a potištěnými prostěradly konče , jako by stovky vlajek nejrůznějších"
